sample_ID,experiment_date,Material,group,experimental_group,mouse_genotype,cage_number,mouse_number,post_treatment_harvest,treatment1,treatment2,treatment3
ALF1,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,1,1,48hrs_postFMT,ABX,Vehicle,NA
ALF2,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,1,2,48hrs_postFMT,ABX,Vehicle,NA
ALF3,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,1,3,48hrs_postFMT,ABX,Vehicle,NA
ALF4,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,1,4,48hrs_postFMT,ABX,Vehicle,NA
ALF5,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,1,5,48hrs_postFMT,ABX,Vehicle,NA
ALF6,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,2,6,48hrs_postFMT,ABX,Vehicle,NA
ALF7,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,2,7,48hrs_postFMT,ABX,Vehicle,NA
ALF8,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,2,8,48hrs_postFMT,ABX,Vehicle,NA
ALF9,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,2,9,48hrs_postFMT,ABX,Vehicle,NA
ALF10,2018_12_14,cecal,vehicle_recipient_48hrs_postFMT,Vehicle_recipient,C57BL6,2,10,48hrs_postFMT,ABX,Vehicle,NA
ALF11,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,3,11,48hrs_postFMT,ABX,FMT,NA
ALF12,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,3,12,48hrs_postFMT,ABX,FMT,NA
ALF13,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,3,13,48hrs_postFMT,ABX,FMT,NA
ALF14,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,3,14,48hrs_postFMT,ABX,FMT,NA
ALF15,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,3,15,48hrs_postFMT,ABX,FMT,NA
ALF16,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,4,16,48hrs_postFMT,ABX,FMT,NA
ALF17,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,4,17,48hrs_postFMT,ABX,FMT,NA
ALF18,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,4,18,48hrs_postFMT,ABX,FMT,NA
ALF19,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,4,19,48hrs_postFMT,ABX,FMT,NA
ALF20,2018_12_14,cecal,fmt_recipient_48hrs_postFMT,FMT_Recipient,C57BL6,4,20,48hrs_postFMT,ABX,FMT,NA
ALF21,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,5,21,48hrs_postFMT,NA,NA,NA
ALF22,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,5,22,48hrs_postFMT,NA,NA,NA
ALF23,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,5,23,48hrs_postFMT,NA,NA,NA
ALF24,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,5,24,48hrs_postFMT,NA,NA,NA
ALF25,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,6,25,48hrs_postFMT,NA,NA,NA
ALF26,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,6,26,48hrs_postFMT,NA,NA,NA
ALF27,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,6,27,48hrs_postFMT,NA,NA,NA
ALF28,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,6,28,48hrs_postFMT,NA,NA,NA
ALF29,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,7,29,48hrs_postFMT,NA,NA,NA
ALF30,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,7,30,48hrs_postFMT,NA,NA,NA
ALF31,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,7,31,48hrs_postFMT,NA,NA,NA
ALF32,2018_12_14,cecal,fmt_donor_48hrs_postFMT,FMT_DONOR,C57BL6,7,32,48hrs_postFMT,NA,NA,NA
WaterNegD,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZymoPosD,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA